Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,New Rating
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.14,549,1/5/2019,13:08,Ewallet,522.83,4.76,26.14,9,High
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.22,341,3/3/2019,13:23,Credit card,324.31,4.76,16.22,7,High
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.29,489,1/27/2019,20:33,Ewallet,465.76,4.76,23.29,8,High
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.21,634,2/8/2019,10:37,Ewallet,604.17,4.76,30.21,5,Medium
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.65,434,2/25/2019,14:36,Ewallet,413.04,4.76,20.65,6,Medium
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.63,76,1/10/2019,17:15,Credit card,72.52,4.76,3.63,7,High
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.74,246,2/12/2019,10:25,Ewallet,234.75,4.76,11.74,7,High
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.6,453,2/7/2019,16:48,Ewallet,431.9,4.76,21.6,8,High
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749,3/29/2019,19:21,Cash,713.8,4.76,35.69,6,Medium
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.13,507,3/11/2019,11:03,Credit card,482.51,4.76,24.13,5,Medium
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.78,457,1/1/2019,10:39,Credit card,435.66,4.76,21.78,7,Medium
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2,172,1/21/2019,18:00,Credit card,164.01,4.76,8.2,9,High
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181,2/17/2019,11:15,Ewallet,172.8,4.76,8.64,10,High
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.29,279,3/2/2019,17:36,Ewallet,265.89,4.76,13.29,6,Medium
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.04,442,3/22/2019,19:20,Credit card,420.72,4.76,21.04,9,High
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.77,184,3/10/2019,12:17,Credit card,175.34,4.76,8.77,8,High
